raw_regimen_drugs,observed_next_regimen,mapping_status,n_all_regimen_rows,n_definition_A_t0_rows,note
"Capecitabine, Docetaxel , Gemcitabine HCL",gemcitabine_capecitabine,standardized,7,1,Mapping is descriptive; not best treatment or gold standard.
Exemestane,non_pdac_context_or_endocrine,manual_review,6,0,Mapping is descriptive; not best treatment or gold standard.
"Investigational Drug, Pembrolizumab",investigational_or_masked,masked_not_actionable,6,1,Mapping is descriptive; not best treatment or gold standard.
Rituximab,manual_review_other_regimen,manual_review,6,0,Mapping is descriptive; not best treatment or gold standard.
Pembrolizumab,immune_checkpoint_inhibitor,standardized,6,0,Mapping is descriptive; not best treatment or gold standard.
"Cyclophosphamide, Fluorouracil, Methotrexate",manual_review_other_regimen,manual_review,6,0,Mapping is descriptive; not best treatment or gold standard.
"Fluorouracil, Irinotecan HCL",FOLFIRI_or_5FU_nalIRI_variant,standardized,6,2,Mapping is descriptive; not best treatment or gold standard.
"Cisplatin, Etoposide",manual_review_other_regimen,manual_review,6,0,Mapping is descriptive; not best treatment or gold standard.
"Carboplatin, Etoposide",manual_review_other_regimen,manual_review,5,0,Mapping is descriptive; not best treatment or gold standard.
Imatinib Mesylate,targeted_or_biologic_other,manual_review,5,0,Mapping is descriptive; not best treatment or gold standard.
"Capecitabine, Erlotinib HCL",targeted_or_biologic_other,manual_review,5,0,Mapping is descriptive; not best treatment or gold standard.
"Atezolizumab, Cobimetinib",immune_checkpoint_inhibitor,standardized,5,2,Mapping is descriptive; not best treatment or gold standard.
"Cisplatin, Gemcitabine HCL, Investigational Drug",investigational_or_masked,masked_not_actionable,5,0,Mapping is descriptive; not best treatment or gold standard.
Other NOS,other_nos,manual_review,5,0,Mapping is descriptive; not best treatment or gold standard.
suppressed_rare_regimen_values_n_lt_5,manual_review_other_regimen,manual_review,230,suppressed,Rare treatment strings suppressed from public output.
