regimen_family,canonical_drug_set,candidate_id,mapping_relation,mapping_status,reason,manual_review_required,observed_rows,strict_t0_rows
fluorouracil_irinotecan,fluorouracil+irinotecan,folfiri_or_irinotecan_fluoropyrimidine,variant,observed_variant,Ordinary irinotecan is kept separate from liposomal irinotecan; line and clinical role are not fully available.,true,6,<5
FOLFIRI,fluorouracil+irinotecan+leucovorin,folfiri_or_irinotecan_fluoropyrimidine,variant,observed_variant,Ordinary irinotecan is kept separate from liposomal irinotecan; line and clinical role are not fully available.,true,111,32
FOLFIRINOX_or_variant,fluorouracil+irinotecan+leucovorin+oxaliplatin,folfirinox,variant,observed_variant,Full recognized component set matches FOLFIRINOX; dose or modification detail is unavailable.,false,724,92
fluorouracil_irinotecan_oxaliplatin,fluorouracil+irinotecan+oxaliplatin,evidence_insufficient_direct_treatment,ambiguous,manual_review,No deterministic candidate mapping is justified from the aggregate regimen mapping.,true,8,<5
5FU_liposomal_irinotecan,fluorouracil+liposomal_irinotecan,liposomal_irinotecan_fluorouracil_leucovorin,partial,observed_partial,Liposomal irinotecan and fluorouracil are present but leucovorin is not confirmed in this raw component set.,true,18,5
5FU_liposomal_irinotecan_leucovorin,fluorouracil+leucovorin+liposomal_irinotecan,liposomal_irinotecan_fluorouracil_leucovorin,exact,observed_exact,Canonical set exactly matches the post-gemcitabine candidate.,false,86,13
5FU_leucovorin,fluorouracil+leucovorin,fluorouracil_leucovorin,exact,observed_exact,Canonical set exactly matches fluorouracil plus leucovorin.,false,40,9
FOLFOX_or_variant,fluorouracil+leucovorin+oxaliplatin,folfox_or_off,variant,observed_variant,"Fluorouracil, leucovorin, and oxaliplatin or a recognized component variant are present; clinical context separates FOLFOX from OFF-like use.",true,181,30
fluorouracil_oxaliplatin,fluorouracil+oxaliplatin,folfox_or_off,variant,observed_variant,"Fluorouracil, leucovorin, and oxaliplatin or a recognized component variant are present; clinical context separates FOLFOX from OFF-like use.",true,10,5
gemcitabine_monotherapy,gemcitabine,gemcitabine_monotherapy,exact,observed_exact,Canonical set exactly matches single-agent gemcitabine.,false,293,41
contains_investigational_drug,gemcitabine+investigational_drug,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,7,<5
contains_investigational_drug,gemcitabine+investigational_drug+nab-paclitaxel,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,8,<5
contains_investigational_drug,gemcitabine+investigational_drug+nab-paclitaxel,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,55,<5
gemcitabine_nab_paclitaxel,gemcitabine+nab-paclitaxel,gemcitabine_nab_paclitaxel,exact,observed_exact,Canonical set exactly matches the named candidate.,false,629,153
gemcitabine_oxaliplatin,gemcitabine+oxaliplatin,gemcitabine_oxaliplatin,exact,observed_exact,Canonical set exactly matches the extended candidate; current role remains pending review.,true,13,<5
targeted_or_biologic_other,imatinib,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,5,0
contains_investigational_drug,investigational_drug,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,73,21
contains_investigational_drug,investigational_drug,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,58,12
contains_investigational_drug,investigational_drug,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,15,<5
contains_investigational_drug,investigational_drug+pembrolizumab,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,6,<5
irinotecan_monotherapy,irinotecan,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,7,<5
liposomal_irinotecan_monotherapy,liposomal_irinotecan,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,8,<5
non_pdac_context_or_endocrine,leuprolide,not_applicable,not_candidate,not_candidate,Observed regimen is endocrine or non-PDAC context and is excluded from the PDAC candidate space.,false,12,<5
recognized_other_combination,nab-paclitaxel,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,8,<5
PARP_inhibitor,olaparib,olaparib_maintenance_brca,partial,observed_drug_only,"Olaparib is observed, but maintenance role, germline BRCA status, and prior platinum response are not encoded in regimen mapping.",true,23,<5
other_nos,other_nos,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,5,0
immune_checkpoint_inhibitor,pembrolizumab,pembrolizumab_msi_h_dmmr,partial,observed_drug_only,Pembrolizumab is observed but MSI-H/dMMR status is not encoded in regimen mapping.,true,6,0
immune_checkpoint_inhibitor,pembrolizumab,pembrolizumab_tmb_h,partial,observed_drug_only,Pembrolizumab is observed but TMB-H status is not encoded in regimen mapping.,true,6,0
targeted_or_biologic_other,rituximab,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,6,0
non_pdac_context_or_endocrine,tamoxifen,not_applicable,not_candidate,not_candidate,Observed regimen is endocrine or non-PDAC context and is excluded from the PDAC candidate space.,false,18,0
suppressed,suppressed,evidence_insufficient_direct_treatment,ambiguous,manual_review,No deterministic candidate mapping is justified from the aggregate regimen mapping.,true,230,27
