table_path,field_name,public_field_name,is_redacted_dynamic_field,row_count,missing_count,missing_rate,unique_count,inferred_type,dictionary_label,dictionary_source,data_role_hint,date_field_hint,leakage_risk_hint,is_candidate_primary_key
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_HIST_ADENO_SQUAMOUS,CA_HIST_ADENO_SQUAMOUS,false,1109,0,0.0,5,string,Histology Category,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_RESECT_STATUS,CA_RESECT_STATUS,false,1109,<5,0.000902,<5,string,Tumor Resectability Status,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_HISTOLOGY,CA_HISTOLOGY,false,1109,401,0.361587,20,string,Histology,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_TX_PRE_PATH_STAGE,CA_TX_PRE_PATH_STAGE,false,1109,593,0.534716,<5,mixed_string,Neoadjuvant Chemotherapy or Radiation Therapy Before Pathologic Stage Diagnosis,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_ADRENAL,DMETS_DX_ADRENAL,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_BONE,DMETS_DX_BONE,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_BRAIN,DMETS_DX_BRAIN,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_LIVER,DMETS_DX_LIVER,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_LUNG,DMETS_DX_LUNG,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_LYMPH,DMETS_DX_LYMPH,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_OTHER,DMETS_DX_OTHER,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_PLEURA,DMETS_DX_PLEURA,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_SUBC_TISSUE,DMETS_DX_SUBC_TISSUE,false,1109,612,0.551849,<5,boolean,待确认,,diagnosis_or_disease_status,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,STAGE_DX,STAGE_DX,false,1109,0,0.0,5,string,Derived Stage at Diagnosis,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,BIRTH_YEAR,BIRTH_YEAR,false,1109,0,0.0,60,integer,Year of Birth,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CENTER,CENTER,false,1109,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_RT_PT,N_RT_PT,false,1109,0,0.0,8,mixed_integer,Number of Radiation Therapies Curated,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_CANCERS,N_CANCERS,false,1109,0,0.0,5,mixed_integer,"Number of Cancers, Any Type",data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_CANCERS_INDEX,N_CANCERS_INDEX,false,1109,0,0.0,<5,mixed_integer,Number of BPC Project Cancers (Index Cancers),data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_IMAGING_REPORTS_PT,N_IMAGING_REPORTS_PT,false,1109,0,0.0,63,mixed_integer,Number of Imaging Reports,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,date_or_relative_time,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_MD_NOTES_PT,N_MD_NOTES_PT,false,1109,0,0.0,66,mixed_integer,Number of Medical Oncologist Assessments Curated,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_TM_CA19_9_PT,N_TM_CA19_9_PT,false,1109,0,0.0,72,mixed_integer,Number of Tumor Marker CA19-9 Results,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_TM_CEA_PT,N_TM_CEA_PT,false,1109,0,0.0,51,mixed_integer,Number of Tumor Marker CEA Results,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_TM_PT,N_TM_PT,false,1109,0,0.0,91,mixed_integer,Number of Tumor Marker Results,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_PATH_REPORTS_PT,N_PATH_REPORTS_PT,false,1109,0,0.0,18,mixed_integer,Number of Pathology Reports,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,date_or_relative_time,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_REGIMENS_PT,N_REGIMENS_PT,false,1109,0,0.0,14,mixed_integer,Number of Cancer-Directed Regimens Curated,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,treatment,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_SCANS_CT_PT,N_SCANS_CT_PT,false,1109,0,0.0,53,mixed_integer,Number of CT Scans,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_SCANS_MRI_PT,N_SCANS_MRI_PT,false,1109,0,0.0,23,mixed_integer,Number of MRIs,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_SCANS_PET_CT_PT,N_SCANS_PET_CT_PT,false,1109,0,0.0,12,mixed_integer,Number of PET or PET-CT Scans,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,ETHNICITY,ETHNICITY,false,1109,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PRIMARY_RACE,PRIMARY_RACE,false,1109,0,0.0,6,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,SEX,SEX,false,1109,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,SAMPLE_ID,false,1130,0,0.0,1130,string,待确认,,sample_or_ngs_key,,,true
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,ONCOTREE_CODE,ONCOTREE_CODE,false,1130,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SEQ_ASSAY_ID,SEQ_ASSAY_ID,false,1130,0,0.0,14,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,AGE_AT_SEQUENCING,AGE_AT_SEQUENCING,false,1130,0,0.0,57,integer,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,PATIENT_ID,false,1130,0,0.0,1109,string,待确认,,patient_key_or_patient_level,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_TYPE_DETAILED,SAMPLE_TYPE_DETAILED,false,1130,<5,0.00354,<5,string,待确认,,sample_or_ngs_key,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PDL1_POSITIVE_ANY,PDL1_POSITIVE_ANY,false,1130,1119,0.990265,<5,boolean,Any Positive PD-L1 Result Reported on Pathology Report,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PDL1_TESTING,PDL1_TESTING,false,1130,0,0.0,<5,boolean,Any PD-L1 Testing Reported on Pathology Report,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,CPT_SEQ_DATE,CPT_SEQ_DATE,false,1130,<5,0.00177,6,integer,Year of Next Generation Sequencing,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,date_or_relative_time,relative_date_or_event_interval; confirm event meaning in data dictionary,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,PATIENT_ID,false,1109,0,0.0,1109,string,待确认,,patient_key_or_patient_level,,,true
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_I_ADV_STATUS,PFS_I_ADV_STATUS,false,1109,88,0.079351,<5,string,Progression Free Survival-Imaging (PFS-I): Status Indicator,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_M_ADV_STATUS,PFS_M_ADV_STATUS,false,1109,88,0.079351,<5,string,Progression Free Survival - Medical Oncologist Assessment (PFS-M): Status Indicator,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_I_ADV_MONTHS,PFS_I_ADV_MONTHS,false,1109,88,0.079351,502,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_M_ADV_MONTHS,PFS_M_ADV_MONTHS,false,1109,88,0.079351,540,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,OS_STATUS,OS_STATUS,false,1109,0,0.0,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,OS_MONTHS,OS_MONTHS,false,1109,0,0.0,810,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,PATIENT_ID,false,1002,0,0.0,1002,string,待确认,,patient_key_or_patient_level,,,true
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_STATUS,OS_1794_STATUS,false,1002,818,0.816367,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_IMAGING_STATUS,PFS_1794_IMAGING_STATUS,false,1002,906,0.904192,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_MED_STATUS,PFS_1794_MED_STATUS,false,1002,906,0.904192,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_MONTHS,OS_1794_MONTHS,false,1002,818,0.816367,175,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_IMAGING_MONTHS,PFS_1794_IMAGING_MONTHS,false,1002,906,0.904192,86,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_MED_MONTHS,PFS_1794_MED_MONTHS,false,1002,906,0.904192,84,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_961_STATUS,OS_1794_961_STATUS,false,1002,892,0.89022,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_IMAGING_STATUS,PFS_1794_961_IMAGING_STATUS,false,1002,944,0.942116,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_MED_STATUS,PFS_1794_961_MED_STATUS,false,1002,944,0.942116,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_961_MONTHS,OS_1794_961_MONTHS,false,1002,892,0.89022,108,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_IMAGING_MONTHS,PFS_1794_961_IMAGING_MONTHS,false,1002,944,0.942116,54,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_MED_MONTHS,PFS_1794_961_MED_MONTHS,false,1002,944,0.942116,52,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_1181_STATUS,OS_1794_1181_STATUS,false,1002,986,0.984032,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_IMAGING_STATUS,PFS_1794_1181_IMAGING_STATUS,false,1002,988,0.986028,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_MED_STATUS,PFS_1794_1181_MED_STATUS,false,1002,988,0.986028,<5,string,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_1181_MONTHS,OS_1794_1181_MONTHS,false,1002,986,0.984032,16,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_IMAGING_MONTHS,PFS_1794_1181_IMAGING_MONTHS,false,1002,988,0.986028,14,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_MED_MONTHS,PFS_1794_1181_MED_MONTHS,false,1002,988,0.986028,14,float,待确认,,outcome,,potential_future_or_outcome_field; exclude from t0 inputs unless time-aligned,false
